users_count,ymd_date
10,2018-06-02
14,2018-06-03
10,2018-06-04
11,2018-06-05
14,2018-06-06
12,2018-06-07
9,2018-06-08
9,2018-06-09
12,2018-06-10
13,2018-06-11
8,2018-06-12
13,2018-06-13
14,2018-06-14
13,2018-06-15
9,2018-06-16
10,2018-06-17
19,2018-06-18
20,2018-06-19
17,2018-06-20
8,2018-06-21
9,2018-06-22
18,2018-06-23
12,2018-06-24
14,2018-06-25
13,2018-06-26
10,2018-06-27
10,2018-06-28
12,2018-06-29
8,2018-06-30
14,2018-07-01
13,2018-07-02
14,2018-07-03
11,2018-07-04
13,2018-07-05
13,2018-07-06
10,2018-07-07
13,2018-07-08
18,2018-07-09
12,2018-07-10
12,2018-07-11
19,2018-07-12
10,2018-07-13
13,2018-07-14
14,2018-07-15
6,2018-07-16
11,2018-07-17
15,2018-07-18
15,2018-07-19
17,2018-07-20
7,2018-07-21
18,2018-07-22
12,2018-07-23
10,2018-07-24
12,2018-07-25
7,2018-07-26
12,2018-07-27
14,2018-07-28
15,2018-07-29
15,2018-07-30
15,2018-07-31
15,2018-08-01
11,2018-08-02
10,2018-08-03
15,2018-08-04
15,2018-08-05
12,2018-08-06
13,2018-08-07
13,2018-08-08
10,2018-08-09
14,2018-08-10
17,2018-08-11
11,2018-08-12
13,2018-08-13
14,2018-08-14
11,2018-08-15
15,2018-08-16
18,2018-08-17
11,2018-08-18
9,2018-08-19
16,2018-08-20
23,2018-08-21
10,2018-08-22
13,2018-08-23
8,2018-08-24
10,2018-08-25
14,2018-08-26
13,2018-08-27
11,2018-08-28
10,2018-08-29
12,2018-08-30
10,2018-08-31
13,2018-09-01
16,2018-09-02
10,2018-09-03
8,2018-09-04
17,2018-09-05
9,2018-09-06
11,2018-09-07
16,2018-09-08
12,2018-09-09
11,2018-09-10
20,2018-09-11
11,2018-09-12
12,2018-09-13
7,2018-09-14
9,2018-09-15
12,2018-09-16
9,2018-09-17
12,2018-09-18
16,2018-09-19
15,2018-09-20
15,2018-09-21
10,2018-09-22
10,2018-09-23
7,2018-09-24
12,2018-09-25
13,2018-09-26
11,2018-09-27
15,2018-09-28
10,2018-09-29
11,2018-09-30
8,2018-10-01
11,2018-10-02
7,2018-10-03
12,2018-10-04
19,2018-10-05
11,2018-10-06
13,2018-10-07
15,2018-10-08
9,2018-10-09
8,2018-10-10
8,2018-10-11
12,2018-10-12
14,2018-10-13
9,2018-10-14
14,2018-10-15
5,2018-10-16
10,2018-10-17
12,2018-10-18
9,2018-10-19
12,2018-10-20
12,2018-10-21
9,2018-10-22
9,2018-10-23
10,2018-10-24
9,2018-10-25
10,2018-10-26
6,2018-10-27
10,2018-10-28
9,2018-10-29
12,2018-10-30
12,2018-10-31
15,2018-11-01
16,2018-11-02
12,2018-11-03
10,2018-11-04
14,2018-11-05
17,2018-11-06
13,2018-11-07
15,2018-11-08
11,2018-11-09
10,2018-11-10
17,2018-11-11
6,2018-11-12
7,2018-11-13
8,2018-11-14
12,2018-11-15
14,2018-11-16
16,2018-11-17
17,2018-11-18
16,2018-11-19
15,2018-11-20
11,2018-11-21
11,2018-11-22
11,2018-11-23
8,2018-11-24
12,2018-11-25
11,2018-11-26
13,2018-11-27
16,2018-11-28
10,2018-11-29
14,2018-11-30
13,2018-12-01
16,2018-12-02
8,2018-12-03
14,2018-12-04
11,2018-12-05
10,2018-12-06
8,2018-12-07
13,2018-12-08
9,2018-12-09
14,2018-12-10
9,2018-12-11
7,2018-12-12
14,2018-12-13
9,2018-12-14
8,2018-12-15
14,2018-12-16
15,2018-12-17
9,2018-12-18
8,2018-12-19
14,2018-12-20
8,2018-12-21
10,2018-12-22
13,2018-12-23
11,2018-12-24
14,2018-12-25
10,2018-12-26
14,2018-12-27
16,2018-12-28
13,2018-12-29
8,2018-12-30
10,2018-12-31
13,2019-01-01
14,2019-01-02
12,2019-01-03
6,2019-01-04
9,2019-01-05
11,2019-01-06
11,2019-01-07
7,2019-01-08
10,2019-01-09
9,2019-01-10
10,2019-01-11
14,2019-01-12
11,2019-01-13
13,2019-01-14
8,2019-01-15
5,2019-01-16
12,2019-01-17
15,2019-01-18
7,2019-01-19
10,2019-01-20
12,2019-01-21
14,2019-01-22
7,2019-01-23
10,2019-01-24
15,2019-01-25
6,2019-01-26
7,2019-01-27
14,2019-01-28
7,2019-01-29
10,2019-01-30
8,2019-01-31
10,2019-02-01
