numberOfChanges,cardID
2,2
2,3
2,5
2,6
2,7
2,9
1,11
2,12
2,13
2,14
1,16
1,17
2,18
2,19
1,20
2,21
3,22
1,23
2,24
2,25
1,26
2,27
2,28
2,29
2,30
1,31
2,33
2,34
1,35
1,36
2,37
2,38
2,40
2,42
2,43
1,45
2,46
2,49
2,50
2,51
2,53
1,54
2,55
2,56
1,57
2,59
1,60
2,61
1,62
1,65
2,66
2,67
1,68
2,69
2,71
2,73
2,74
2,75
2,76
1,77
2,78
2,79
2,80
2,81
1,82
2,83
1,85
2,86
2,89
2,90
1,91
2,92
2,94
2,95
2,96
1,98
1,99
1,100
2,101
2,102
2,103
1,104
2,105
2,106
1,107
2,108
2,109
2,111
1,112
2,113
2,114
1,115
1,116
2,118
2,119
2,120
1,121
1,123
1,124
1,125
1,126
1,127
2,128
1,129
3,130
1,132
2,133
1,136
4,137
2,138
1,139
2,141
2,142
4,143
1,144
1,145
1,146
4,147
2,148
2,149
2,150
1,151
3,152
1,156
2,157
2,158
2,159
1,160
2,161
2,163
2,164
1,165
2,166
2,168
2,169
2,170
1,171
2,173
2,174
2,175
2,176
1,177
2,178
1,179
2,180
2,181
1,182
1,183
2,185
1,186
5,187
4,189
2,190
2,191
2,192
1,193
1,194
2,195
2,196
2,198
2,199
3,200
